,Name,Rating,Review,Salaries,Jobs
529,Honda Cars,4.3,1.8k,6.2k,105
530,Trident Group,3.3,1.7k,5.2k,129
531,Shadowfax Technologies,3.5,1.7k,6.9k,153
532,PI Industries,3.9,1.7k,6.7k,126
533,Aadhar Housing Finance,4.1,1.7k,4.6k,112
534,Future Retail,4.4,1.7k,4.1k,57
535,Sterling & Wilson,4.0,1.7k,6.9k,80
536,CNH (Case New Holland),3.8,1.7k,5.7k,119
537,Medi Assist India,3.4,1.7k,7k,134
538,Tata Power,3.9,1.7k,6.8k,203
539,NeoSOFT,3.5,1.7k,10.3k,291
540,Dhani Loans and Services,3.9,1.7k,4.2k,70
541,CorroHealth infotech,3.2,1.7k,6.8k,185
542,ICICI Home Finance,3.7,1.7k,4.9k,94
543,Cafe Coffee Day,3.7,1.7k,3.8k,76
544,Fusion CX,3.4,1.7k,4.3k,126
545,SS&C TECHNOLOGIES,3.3,1.7k,13.2k,191
546,Jindal Saw,4.0,1.7k,6.3k,132
547,MetLife,4.0,1.7k,8.6k,99
548,Aye Finance,4.1,1.7k,3.3k,82
549,Kalyan Jewellers,4.5,1.7k,1.5k,73
550,Innovsource Services,3.9,1.7k,4.6k,71
551,Polycab Wires,4.0,1.7k,6.6k,118
552,Vedantu,3.3,1.7k,8.8k,196
553,BT Business,3.9,1.7k,9k,88
554,Tata Communications Transformation Services,3.9,1.7k,8.2k,94
555,USHA International,4.1,1.7k,4.7k,106
556,DIVI'S Laboratories,3.6,1.7k,6.6k,96
557,USV,4.0,1.7k,5.5k,84
558,American Broadcasting Company,4.0,1.7k,29.3k,577
559,NEC,4.2,1.7k,5.4k,75
560,Reckitt Benckiser,3.9,1.7k,6k,99
561,Hindustan Petroleum,4.2,1.6k,5.7k,113
562,Capri Global Capital,3.6,1.6k,3.8k,73
563,Indian Navy,4.6,1.6k,3.3k,30
564,First American Corporation,3.5,1.6k,8.6k,83
565,TELUS Digital,3.6,1.6k,9k,124
566,CSB Bank,3.1,1.6k,6.5k,97
567,HDFC Securities,3.4,1.6k,5.9k,117
568,Bata,3.5,1.6k,4k,78
569,Metro Cash & Carry,4.1,1.6k,4.7k,70
570,Exela Technologies,3.3,1.6k,7.7k,97
571,Haldiram Foods International Limited,3.7,1.6k,5.6k,144
572,Frankfinn Institute of Air Hostess Training,3.9,1.6k,3.2k,117
573,Mother Dairy Fruit & Vegetable,4.0,1.6k,4.9k,93
574,Security and Intelligence Services (India),4.1,1.6k,4.3k,73
575,Isgec Heavy Engineering,3.7,1.6k,6.6k,134
576,Sysnet Global Technologies,3.8,1.6k,4k,137
577,BA Continuum,4.1,1.6k,10k,110
578,Cavinkare,4.0,1.6k,4.7k,67
579,Pine Labs,3.3,1.6k,6.9k,128
580,Godrej Properties,3.6,1.6k,8k,115
581,Tata Play,4.0,1.6k,4.6k,82
582,FactSet,3.8,1.6k,9.9k,223
583,HighRadius,2.8,1.6k,8.4k,206
584,Matrimony.com,4.0,1.6k,4.3k,97
585,JSW Bhushan Power & Steel,4.0,1.6k,4.9k,70
586,Orange Business,4.2,1.6k,8.7k,107
587,MagicBricks,4.2,1.6k,4.3k,342
588,Medanta the Medicity,4.0,1.6k,4.8k,118
589,DHL Express,4.1,1.6k,5.9k,76
590,Yamaha Motor,4.1,1.6k,5.1k,83
591,Air India,3.5,1.6k,7.1k,182
592,Johnson & Johnson,4.0,1.6k,5.7k,110
593,Verizon,3.9,1.6k,10.8k,122
594,Provana,4.0,1.6k,3.7k,169
595,Cushman & Wakefield,4.2,1.6k,6k,103
596,Adani Green Energy,3.9,1.6k,5.5k,143
597,KONE,4.1,1.6k,5.5k,127
598,Caterpillar Inc,4.2,1.6k,9.9k,193
599,Arvind Group,3.9,1.6k,5.1k,76
600,CMA CGM,3.9,1.5k,8k,99
601,HERE Technologies,3.8,1.5k,7.7k,105
602,Procter & Gamble,4.1,1.5k,5.5k,126
603,LivSpace,3.4,1.5k,7.6k,158
604,Tata Teleservices,3.8,1.5k,3.2k,32
605,Chegg,4.1,1.5k,4k,163
606,Vardhman Fabrics,4.0,1.5k,5.2k,74
607,Wipro Enterprises Ltd,3.8,1.5k,7.6k,193
608,Honda,4.1,1.5k,4k,110
609,CG Power and Industrial Solutions,3.9,1.5k,6.2k,98
610,L.G.Balakrishnan & Bros,3.5,1.5k,5.6k,78
611,Annapurna Finance,3.9,1.5k,3.6k,80
612,Hitachi Astemo,4.1,1.5k,6k,128
613,Hero Motors Company,4.0,1.5k,6k,93
614,NTT DATA Business Solutions,3.9,1.5k,11.8k,135
615,Emami,3.8,1.5k,5.2k,101
616,Granules India Limited,3.8,1.5k,6k,80
617,Wockhardt,3.8,1.5k,4k,61
618,Belrise Industries,3.8,1.5k,6k,104
619,AkzoNobel,4.0,1.5k,4.1k,78
620,Krishna Maruti,3.8,1.5k,5k,120
621,HCL Infosystems,3.9,1.5k,7.3k,145
622,Mercer,3.6,1.5k,9.4k,94
623,Marico,3.9,1.5k,5.4k,97
624,TTEC India,3.6,1.5k,5k,163
625,Acmegrade,3.9,1.5k,242,64
626,Compass Group Support Services,4.0,1.5k,5.2k,76
627,Clover Infotech,3.4,1.5k,11.2k,126
628,iOPEX Technologies,3.3,1.5k,5.5k,81
629,IIFL SAMASTA,3.8,1.5k,3k,75
630,Godrej Industries Group,3.9,1.5k,2.9k,140
631,Welspun Living Limited,3.9,1.5k,5k,84
632,Digit Insurance,3.6,1.5k,5.3k,191
633,Oracle Cerner,3.4,1.5k,10.3k,165
634,ReNew,4.3,1.5k,5.8k,119
635,KFC,4.0,1.5k,2.9k,76
636,ZF Commercial Vehicle Control Systems,3.9,1.5k,3.6k,72
637,Satin Creditcare Network,4.0,1.5k,3k,61
638,Patanjali Foods,3.8,1.5k,4.1k,86
639,Marriott International,4.2,1.5k,4.6k,97
640,Goldman Sachs,3.4,1.5k,18.5k,402
641,ITD Cementation India,4.2,1.5k,4.2k,86
642,Teva Pharmaceuticals,3.9,1.4k,5.4k,109
643,Toyota Kirloskar Motor,4.3,1.4k,4.3k,72
644,Relaxo Footwear,4.0,1.4k,4.5k,101
645,Asahi India Glass,3.8,1.4k,4.8k,103
646,Broadridge Financial Solutions,3.8,1.4k,10.4k,152
647,Bajaj Capital,3.6,1.4k,3.7k,127
648,Veritas Finance,4.4,1.4k,2k,82
649,Taurus BPO Services,4.4,1.4k,880,33
650,Suguna Foods,4.0,1.4k,4k,87
651,Dixon Technologies,3.9,1.4k,5.4k,129
652,Tesco,3.6,1.4k,8.4k,144
653,Tata 1mg,3.6,1.4k,6.5k,206
654,Dainik Bhaskar Group,4.1,1.4k,4.3k,66
655,IFB,3.6,1.4k,5.2k,115
656,XL Dynamics,3.2,1.4k,3.6k,94
657,Max Fashion,4.1,1.4k,3.3k,72
658,Honeywell Technology Solutions,3.7,1.4k,11.3k,160
659,Rungta Mines,4.0,1.4k,4.8k,151
660,Nayara Energy,4.1,1.4k,6k,93
661,Supreme Industries,4.1,1.4k,5.4k,86
662,Evalueserve,3.1,1.4k,10.2k,135
663,Amul India,4.1,1.4k,3.9k,149
664,IndiaFirst Life Insurance,3.8,1.4k,3.8k,74
665,Oberoi Group of Hotels,4.1,1.4k,3.7k,96
666,Lumax Industries,4.0,1.4k,5.5k,87
667,BVG India,4.2,1.4k,3.7k,110
668,Bisleri,4.2,1.4k,4.2k,106
669,Gujarat Fluorochemicals,3.8,1.4k,6.2k,99
670,Infra.Market,3.8,1.4k,3.5k,147
671,Tata Group,4.2,1.4k,5.3k,377
672,Sanofi,4.1,1.4k,5.1k,85
673,Shriram Life Insurance,3.5,1.4k,4.3k,104
674,Aon,3.8,1.4k,5.7k,81
675,NIIT,3.5,1.4k,5.9k,105
676,Steel Strips Wheels,3.7,1.4k,5.2k,82
677,Gland Pharma,3.9,1.4k,5.9k,86
678,GMR Group,4.0,1.4k,4.4k,97
679,IDC Technologies,3.1,1.4k,7k,76
680,QualityKiosk Technologies,3.3,1.4k,10.6k,159
681,GE VERNOVA,4.1,1.4k,5.1k,103
682,Ashoka Buildcon,4.1,1.4k,4k,76
683,Orchids International School,3.7,1.4k,3.6k,272
684,NielsenIQ,3.6,1.4k,8.6k,211
685,Canara Bank,3.4,1.4k,3.8k,46
686,Hyatt Regency,4.1,1.4k,3k,51
687,Schindler,3.9,1.4k,5.1k,98
688,Tanishq,4.3,1.4k,2.9k,99
689,Daimler India Commercial Vehicles,3.9,1.4k,6.5k,68
690,Kotak Mahindra Prime,4.0,1.4k,4.8k,63
691,Valeo,3.9,1.4k,7.7k,101
692,Hinduja Leyland Finance,4.0,1.4k,2.7k,48
693,Karur Vysya Bank,3.5,1.4k,4.4k,99
694,ISS Facility Services,4.0,1.4k,4k,65
695,Page Industries,4.2,1.4k,4.6k,70
696,AB InBev India,3.4,1.4k,7.6k,106
697,Urban Company,3.4,1.4k,6k,154
698,SAI Life Sciences,3.9,1.4k,5.6k,97
699,Wheelseye Technology,3.5,1.4k,3.6k,110
700,Bharat Forge,3.8,1.4k,6.1k,74
701,Indoco Remedies,3.4,1.4k,5.5k,85
702,TCS iON,3.9,1.4k,3.8k,396
703,Devyani International,3.8,1.4k,3.3k,65
704,Narayana Educational Society,3.5,1.4k,4k,65
705,Sony,4.2,1.4k,4.4k,78
706,Suryoday Small Finance Bank,3.8,1.4k,4.2k,85
707,Tata AutoComp Systems,3.8,1.3k,6.3k,109
708,Faurecia,3.9,1.3k,6.1k,70
709,FedEx Express,3.9,1.3k,4.8k,105
710,Sonata Software,3.3,1.3k,10.9k,131
711,The Muthoot Group,3.6,1.3k,3.8k,82
712,Xiaomi,3.8,1.3k,5.4k,108
713,Apco Infratech,3.7,1.3k,4.1k,129
714,Piramal Pharma,4.0,1.3k,6k,112
715,Big Bazaar,4.4,1.3k,2.4k,46
716,CIE Automotive India Limited (Formerly known as Mahindra CIE Automotive Limited),3.6,1.3k,4.7k,88
717,J. Kumar Infraprojects,4.1,1.3k,4.3k,89
718,Tietoevry,4.2,1.3k,9.3k,99
719,Unisys,3.5,1.3k,9.8k,79
720,Acuity Knowledge Partners,3.2,1.3k,10.9k,164
721,Tata Consumer Products,3.5,1.3k,5.4k,93
722,Amneal Pharmaceuticals,4.1,1.3k,5.7k,80
723,Sheenlac Paints,4.3,1.3k,1.7k,208
724,Indegene,3.3,1.3k,9k,164
725,Jaquar,4.1,1.3k,4.8k,81
726,Heritage Foods,4.1,1.3k,3.6k,95
727,VLCC,3.4,1.3k,3.2k,51
728,Aforeserve,3.3,1.3k,3.7k,87
729,Paytm Payments Bank,3.9,1.3k,5.7k,136
730,Chetu,3.4,1.3k,7.3k,214
731,Morningstar,3.8,1.3k,9.3k,256
732,Vfs Global Services,3.5,1.3k,4k,68
733,Oracle Financial Services Software,3.4,1.3k,11k,188
734,Happiest Minds Technologies,3.5,1.3k,11.5k,143
735,PNB Housing Finance,3.8,1.3k,4.5k,53
736,JioMart,3.9,1.3k,3.9k,109
737,NSE.IT,3.5,1.3k,6.1k,137
738,AtkinsRealis,3.8,1.3k,5.5k,102
739,Amara Raja Energy & Mobility,4.0,1.3k,3.8k,99
740,Sharekhan,3.7,1.3k,4.9k,94
741,Infogain,3.5,1.3k,10.6k,131
742,Airtel Payments Bank,3.9,1.3k,4.5k,93
743,V5 Global Services,3.9,1.3k,3.4k,85
744,Bharat FIH,3.7,1.3k,5.3k,87
745,Amity University,3.6,1.3k,5.1k,108
746,Slk Software Services,3.2,1.3k,9.1k,106
747,Adobe,3.8,1.3k,11.6k,257
748,GE,4.2,1.3k,7.2k,111
749,Sansera Engineering,4.0,1.3k,5.2k,89
750,Continental Automotive Components,3.9,1.3k,8.8k,80
751,Unichem Laboratories,3.7,1.3k,5.1k,93
752,SHYAM METALICS AND ENERGY,3.5,1.3k,4.2k,137
753,EOSGlobe,2.9,1.3k,3.8k,88
754,Altimetrik,3.6,1.3k,10.7k,251
755,Aditya Birla Finance,3.9,1.3k,5.2k,53
756,Kantar,3.5,1.3k,6.5k,112
757,Worley,4.1,1.3k,6.9k,129
758,Fino Payments Bank,3.8,1.3k,3.8k,61
759,Northern Trust,3.6,1.3k,10k,126
760,DCM Shriram,4.1,1.3k,4.5k,102
761,Collabera Technologies,3.4,1.3k,7k,139
762,Eaton,4.0,1.3k,7.5k,142
763,Bluestock ™,4.5,1.3k,51,385
764,Aptara,3.2,1.3k,6.3k,69
765,Hindware Limited,3.9,1.3k,4.5k,78
766,TÜV SÜD,4.0,1.3k,3.7k,90
767,Bajaj Housing Finance,3.6,1.3k,5.6k,67
768,Iffco Tokio General Insurance Co.,3.7,1.3k,3.8k,47
769,Sigma Electric Manufacturing Corporation,4.0,1.3k,3k,73
770,VIBGYOR Group of Schools,3.4,1.2k,4.1k,93
771,Nykaa,3.4,1.2k,6.2k,133
772,MedPlus,3.6,1.2k,4k,97
773,Burger King,3.9,1.2k,3.3k,90
774,iMerit,3.2,1.2k,5k,113
775,AGS Transact Technologies,2.9,1.2k,3.9k,43
776,Jindal X,3.6,1.2k,2.8k,113
777,Spicejet,3.5,1.2k,5.2k,95
778,Cinépolis,3.8,1.2k,2.8k,72
779,Incedo,3.0,1.2k,9.5k,199
780,Fabindia,3.8,1.2k,3.9k,59
781,TEKsystems,3.2,1.2k,9.9k,132
782,Dell EMC,3.8,1.2k,8.9k,73
783,Hindustan Construction Company,4.2,1.2k,3.1k,90
784,SBFC Finance,3.7,1.2k,2.7k,76
785,FDC,3.8,1.2k,3.6k,63
786,Health Care Global Enterprises,4.0,1.2k,2.7k,87
787,Panasonic,4.0,1.2k,4.8k,47
788,TE Connectivity,4.2,1.2k,6.8k,98
789,Pantaloons,4.0,1.2k,3k,66
790,Atul,3.9,1.2k,5k,94
791,JSW Cement,4.1,1.2k,4.1k,125
792,Apexon,3.3,1.2k,8.4k,158
793,Brillio,3.4,1.2k,9.9k,141
794,Chandigarh University,4.0,1.2k,2.8k,103
795,Shubham Housing Development Finance,3.9,1.2k,2.9k,49
796,ManpowerGroup,3.7,1.2k,4.9k,64
797,RBL FinServe,3.9,1.2k,3k,64
798,ECIL,4.2,1.2k,3.1k,56
799,Sunknowledge Services,3.6,1.2k,3.4k,99
800,Hatsun Agro Product,3.8,1.2k,4.4k,75
801,Punjab National Bank,3.9,1.2k,2.8k,54
802,Tekwissen,4.8,1.2k,549,148
803,CreditAccess Grameen,4.0,1.2k,2.5k,48
804,Mondelez International,4.2,1.2k,4.4k,71
805,GEP Worldwide,3.6,1.2k,8.6k,144
806,Nippon Paint India,4.0,1.2k,3.8k,72
807,Baroda Global Shared Services,3.9,1.2k,2.8k,114
808,City Union Bank,3.0,1.2k,5.2k,110
809,Rashmi Metaliks,3.3,1.2k,4.4k,104
810,CenturyPly,3.8,1.2k,3.9k,88
811,Citco,3.1,1.2k,8.2k,160
812,Piramal Group,3.8,1.2k,3.7k,65
813,ZF Steering Gear,3.7,1.2k,6.7k,56
814,Synchrony,4.3,1.2k,5.2k,88
815,Decathlon,3.7,1.2k,4k,116
816,Samsung Research,3.1,1.2k,9.2k,145
817,Tenneco,3.7,1.2k,5k,67
818,SKF,4.0,1.2k,4.3k,72
819,MiraMed Ajuba,4.0,1.2k,4.3k,62
820,The Ramco Cements,4.1,1.2k,3.9k,69
821,Luminous Power Technologies,4.1,1.2k,3.6k,81
822,FOCUS EDUMATICS,3.0,1.2k,2.9k,125
823,Jakson Group,4.2,1.2k,3.7k,96
824,INDIUM,4.0,1.2k,6.3k,221
825,Vestas,4.2,1.2k,4.9k,95
826,OpenText Technologies,3.6,1.2k,10.9k,185
827,VOIS,3.9,1.2k,6.8k,168
828,More Supermarket,3.8,1.2k,3.6k,83
829,PHN Technology,4.4,1.2k,333,35
830,iSON Xperiences,3.2,1.2k,3.2k,75
831,Novo Nordisk,3.7,1.2k,5.8k,92
832,R Systems International,3.2,1.2k,7.2k,128
833,ANZ Banking Group,3.9,1.2k,7.7k,101
834,Fresenius Kabi,4.1,1.2k,3.9k,47
835,ICICI Prudential Mutual Fund,3.9,1.2k,5.4k,83
836,Automotive Manufacturers,3.9,1.2k,5.2k,93
837,Mu Sigma,2.5,1.2k,6.6k,245
838,Grant Thornton,3.5,1.2k,10.5k,113
839,Ion Exchange India,3.7,1.2k,4.8k,84
840,Xyz Company,3.8,1.2k,38.2k,509
841,Astral Pipe,4.0,1.2k,3.8k,82
842,Intertek,3.7,1.2k,3.9k,69
843,Godrej Consumer Products,4.0,1.2k,4.5k,56
844,Best Sellers,4.1,1.2k,2.9k,32
845,Oil And Natural Gas Corporation,4.3,1.2k,3k,77
846,Centre for Development of Advanced Computing,3.7,1.2k,6.4k,120
847,DENSO,4.1,1.2k,3.7k,83
848,Barclays Shared Services,3.9,1.1k,4.9k,36
849,PNC Infratech,3.7,1.1k,3.4k,75
850,T-Systems ICT India,3.8,1.1k,8.1k,102
851,Shriram Pistons & Rings,4.1,1.1k,4.4k,71
852,Fidelity National Financial,3.7,1.1k,6.1k,56
853,EbixCash Limited,3.8,1.1k,5.1k,107
854,OM Logistics,3.9,1.1k,3.5k,81
855,AIIMS,4.1,1.1k,4.3k,62
856,Troikaa Pharmaceuticals,4.0,1.1k,3.5k,110
857,Zoho,4.2,1.1k,8.6k,565
858,Prodapt,3.5,1.1k,9k,110
859,Ocwen Financial Solutions,4.0,1.1k,4.4k,51
860,Wind World,3.9,1.1k,3.2k,82
861,Parexel International,3.8,1.1k,5.6k,82
862,SRL Diagnostics,4.1,1.1k,2.9k,59
863,Aarvee Associates,3.8,1.1k,3.2k,89
864,Globant,3.5,1.1k,9.3k,195
865,Muthoot Microfin,3.9,1.1k,2.4k,47
866,Baazar Retail Private Limited,4.5,1.1k,1.4k,81
867,Intel,4.1,1.1k,8.5k,234
868,Dassault Systemes,3.8,1.1k,6.5k,182
869,The Jaypee Group,3.8,1.1k,3.4k,49
870,Aerial Telecom Solutions,4.0,1.1k,2.1k,81
871,Edelweiss,3.7,1.1k,5.9k,61
872,ExcelR,3.7,1.1k,948,102
873,Willis Towers Watson,3.6,1.1k,7.4k,107
874,Fidelity Investments,4.1,1.1k,7.7k,120
875,Qualcomm,3.7,1.1k,12.7k,283
876,Kirloskar Oil Engines,4.1,1.1k,3.8k,56
877,Northern Trust Operating Services,3.8,1.1k,6.4k,106
878,ACG Worldwide,3.9,1.1k,3.7k,78
879,Rockman Industries,3.9,1.1k,3.7k,88
880,NextComm Corporation,4.9,1.1k,36,6
881,DISH TV,3.4,1.1k,3.3k,70
882,JTEKT,4.1,1.1k,4.1k,82
883,Apex Group,2.7,1.1k,7k,170
884,SK Finance Limited,3.8,1.1k,3k,80
885,JK Lakshmi Cement,3.8,1.1k,3.6k,74
886,Colliers India,3.9,1.1k,4.6k,83
887,Thyrocare Technologies,3.7,1.1k,4.3k,82
888,Viraj Profiles,3.8,1.1k,4.3k,86
889,Ahluwalia Contracts India,4.0,1.1k,3.3k,68
890,KIMS Hospital,3.9,1.1k,3.3k,52
891,Coca-Cola Company,4.0,1.1k,3.1k,97
892,Wistron,3.9,1.1k,5.2k,89
893,VMware Software,4.4,1.1k,9.1k,145
894,Diageo,3.9,1.1k,6k,84
895,PayPal,3.8,1.1k,8.8k,234
896,Bajaj Motors,3.9,1.1k,3.3k,62
897,Genius Consultants,3.8,1.1k,3.8k,68
898,NetAmbit,4.0,1.1k,2.9k,126
899,Patra Corporation,3.6,1.1k,4.5k,88
900,Johnson Lifts,3.9,1.1k,3.5k,48
901,Podar International School,4.1,1.1k,3.1k,77
902,H.G. Infra Engineering,4.0,1.1k,3k,99
903,DLF,3.9,1.1k,4.4k,90
904,Salesforce,4.0,1.1k,11.6k,239
905,Innova Solutions,3.3,1.1k,7.3k,95
906,Jet Airways,4.6,1.1k,2k,23
907,Nielsen,3.5,1.1k,6k,144
908,Dhoot Transmission,3.7,1.1k,3.9k,63
909,Saipem,4.1,1.1k,3.2k,51
910,Edelweiss Life Insurance,3.6,1.1k,3.6k,55
911,Jacobs Engineering Group,4.1,1.1k,4.8k,85
912,MDIndia Health Insurance TPA,3.6,1.1k,3.6k,68
913,London Stock Exchange Group,3.7,1.1k,9.9k,150
914,Spandana Sphoorty Financial,3.7,1.1k,2.2k,46
915,HFCL Limited,3.8,1.1k,4k,75
916,Motilal Oswal Home Finance,4.4,1.1k,1.3k,125
917,Fusion Microfinance,3.9,1.1k,2.5k,44
918,Piaggio,3.5,1.1k,3.7k,70
919,Strides Pharma,3.9,1.1k,4.1k,71
920,Barbeque Nation,3.9,1.1k,2.5k,44
921,Onward Technologies Inc,2.9,1.1k,5.8k,86
922,Meril,3.6,1.1k,4.4k,77
923,Indira IVF Hospital,4.0,1.1k,2.7k,71
924,Kalpataru Limited,4.1,1.1k,4.1k,170
925,Wonder Home Finance,4.7,1k,686,183
926,Adani Ports and SEZ,3.7,1k,3.8k,72
927,Birla Corporation,4.1,1k,3.5k,66
928,SYSKA LED Lights,2.9,1k,2.3k,58
929,Aparna Constructions and Estates,4.0,1k,3.7k,104
930,PharmEasy,3.7,1k,4.9k,88
931,Biocon Biologics,3.7,1k,6.4k,98
932,CaratLane - A Tata Product,4.1,1k,2.8k,62
933,DP World,3.7,1k,4.3k,84
934,Aptiv,3.4,1k,7.5k,118
935,Zetwerk,4.0,1k,3.7k,109
936,Imperial Auto Industries,3.9,1k,4.4k,69
937,Hyundai Mobis,3.7,1k,4.9k,75
938,Sundaram Finance,4.0,1k,3k,41
939,Zydus Wellness,4.1,1k,2.7k,99
940,Stanza Living,3.0,1k,3.5k,84
941,Prism Johnson,3.7,1k,4.2k,62
942,Advantmed,4.2,1k,2.5k,156
943,Electronica Finance,4.2,1k,2.6k,99
944,Klm Axiva Finvest,4.4,1k,734,433
945,GAIL,4.4,1k,3.1k,77
946,ICON Plc,4.0,1k,4k,126
947,Unicharm,4.0,1k,2.9k,65
948,INDO-MIM,4.1,1k,4k,71
949,Sri Chaitanya Techno Schools,3.5,1k,3.3k,66
950,Federal Bank,3.8,1k,5.2k,116
951,Syngenta,4.1,1k,3.5k,74
952,Spencer's Retail,3.7,1k,2.7k,58
953,Indostar Capital Finance Limited,4.4,1k,1.9k,169
954,Tube Investments of India,3.8,1k,3.4k,69
955,Kirloskar Brothers,3.8,1k,4.1k,83
956,Bharat Sanchar Nigam,4.0,1k,2.5k,47
957,Siemens Gamesa Renewable Power Private Limited,4.0,1k,4.8k,58
958,Schaeffler India,4.0,1k,5k,62
959,MAHLE ANAND Filter Systems,3.9,1k,3.3k,35
960,Sri Chaitanya Educational Institutions,3.7,1k,2.9k,46
961,Hikal,3.9,1k,4.4k,72
962,Zf Rane Automotive,4.0,1k,3.8k,62
963,Royal Migration Solutions,4.9,1k,6,1
964,V2 Retail,3.5,1k,2.4k,74
965,TK Elevator,3.8,1k,4.1k,62
966,Deccan Fine Chemicals,3.7,1k,4.7k,95
967,Power Grid Corporation of India,4.3,1k,1.9k,70
968,Vedanta Aluminium,3.9,1k,4.4k,61
969,HPCL-Mittal Energy Limited,4.3,1k,4.4k,42
970,1point1 Solutions,3.4,1k,3k,83
971,Nexa,4.0,1k,2.3k,40
972,Kohler,3.7,1k,4.6k,70
973,CALIBEHR,4.0,998,2.6k,62
974,Labmentix,4.5,999,20,347
975,TKIL,4.1,997,4.3k,71
976,Sahara India Pariwar,3.8,996,2.5k,28
977,Leadec India,4.0,996,3.3k,104
978,Ceasefire Industries,3.2,994,2.5k,118
979,Gmmco,4.0,996,2.8k,50
980,Air India Sats Airport Services,3.5,994,2.2k,63
981,Temenos,3.1,992,8.8k,95
982,Dana Anand,4.1,993,2.8k,50
983,Metropolis Healthcare,3.9,988,3.3k,62
984,Hindustan Zinc,3.7,987,4.3k,51
985,Pernod Ricard,3.6,989,4.3k,57
986,Godrej Agrovet,3.9,987,3.2k,59
987,Thermo Fisher Scientific,3.8,981,6.1k,99
988,Balkrishna Industries,4.0,982,3.8k,55
989,Aarvi Encon,3.9,980,2.8k,73
990,iQor Global Services,3.3,980,2.5k,39
991,Aspire Systems,3.8,978,9.3k,123
992,MG Motor,3.8,980,4.6k,75
993,Asirvad Microfinance,3.8,973,2.1k,39
994,TradeIndia (Infocom Network Private Limited),3.3,973,4.3k,81
995,Allianz Technology,4.1,971,6.6k,71
996,NxtWave,3.6,969,2.5k,231
997,MakeMyTrip,3.5,967,6.9k,137
998,Uber,4.2,967,7.5k,163
999,Otis Elevator,4.1,967,3.9k,58
1000,Amara Raja Group,4.2,966,3.4k,73
1001,Altisource,3.5,964,3.7k,43
1002,ValueMomentum,3.1,964,8.4k,93
1003,JW Marriott,4.2,963,2k,45
1004,BirlaNu,4.0,962,2.7k,71
1005,Kinara Capital,4.3,962,2.2k,88
1006,Vistaar Finance,4.0,962,2k,28
1007,Lakshmi Machine Works,3.9,961,4.1k,60
1008,Wheels,3.9,958,5k,67
1009,Gharda Chemicals Limited,3.9,960,4.4k,76
1010,Knorr-Bremse,3.5,957,4.6k,64
1011,CarDekho Group,3.6,957,4.9k,83
1012,Visionet Systems,3.3,958,5.8k,77
1013,Colgate Palmolive,4.0,958,4.1k,78
1014,Nilkamal,3.8,955,3.2k,68
1015,AstraZeneca,4.0,955,6.8k,64
1016,Greenko Group,3.8,956,3.4k,62
1017,Mando Automotive,4.0,953,4.3k,54
1018,IIFL Home Finance,3.8,954,2.6k,49
1019,eClinicalWorks,3.7,954,4.9k,76
1020,Secure Meters,4.0,952,4.3k,79
1021,Fractal Analytics,4.0,954,9.5k,221
1022,Incheon Motors,4.8,962,293,239
1023,Thomas Cook,4.0,951,3.7k,87
1024,SitusAMC,3.3,951,5.1k,68
1025,Netcracker Technology,3.0,950,8.7k,137
1026,Vertiv,3.9,950,4.1k,56
1027,Episource,3.9,948,3.3k,226
1028,GVPR Engineers,3.8,947,2.9k,65
1029,Lemon Tree Hotels,4.1,947,2.6k,55
1030,TÜV NORD,3.8,945,3.8k,73
1031,Mastek,3.6,943,6.3k,129
1032,Nasser S. Al Hajri Corporation,3.5,943,1.8k,37
1033,TechnipFMC,4.0,943,4.8k,81
1034,Star Cement,4.0,944,3k,81
1035,Petrofac,4.2,941,2.3k,44
1036,Encora,3.4,942,7.4k,110
1037,Kendriya Vidyalaya Sangathan,4.3,941,1.5k,62
1038,Navitasys India,4.1,940,2.6k,123
1039,Perfetti Van Melle,4.2,940,2.7k,35
1040,Svatantra Microfin,3.9,938,2k,38
1041,C&S Electric,4.0,936,3.5k,63
1042,Suzuki Motorcycle,4.0,936,3.6k,48
1043,Westside,3.9,935,2.1k,46
1044,Pristyn Care,3.2,934,4k,82
1045,Cult.fit,3.6,932,3.9k,76
1046,Gannon Dunkerley & Co.,3.3,932,2k,38
1047,Bounteous x Accolite,3.3,931,7.4k,235
1048,Pizza Hut,3.9,931,2k,46
1049,Aircel,4.5,930,1.3k,9
1050,Barclays Global Service Centre,3.9,928,7.7k,94
1051,NBC Bearings,3.8,926,3.4k,97
1052,Softenger,4.0,924,2.5k,65
1053,Innodata India Private Limited,3.7,923,2.5k,91
1054,Collins Aerospace,3.8,921,7k,81
1055,Capacit'e Infraprojects,3.7,921,3.1k,66
1056,VIP Industries,3.7,920,3k,47
1057,Aparajitha Corporate Services,3.8,921,2.9k,51
1058,Pricol,3.9,919,4.1k,52
1059,Comviva Technology,2.9,920,5.8k,80
1060,Comviva Technology,2.9,920,5.8k,80
1061,Tata Capital Housing Finance,4.0,919,3k,46
1062,Hitachi Payment Services,3.6,919,3.2k,52
1063,Shyam Steel Group,3.5,917,3.4k,72
1064,Tikona Infinet,3.6,916,2.7k,33
1065,United Breweries,3.3,915,3.2k,52
1066,Rebel Foods,3.6,917,3.4k,69
1067,Jubilant Pharmova,3.7,916,3.4k,60
1068,ALLEN Career Institute,3.8,913,3.9k,65
1069,QX Global Group,3.1,914,3.9k,105
